-1.14,-0.66,-0.00;
-0.53,-0.69,0.40;
1.27,-0.80,0.38;
2.05,-0.83,0.66;
1.73,-0.43,0.21;
0.68,-0.45,0.49;
0.13,-0.51,-0.03;
0.81,-0.39,0.09;
1.50,-0.71,0.03;
0.98,-0.56,0.03;
0.43,-0.85,0.14;
0.25,-0.39,-0.17;
0.10,-0.25,-0.09;
0.28,-0.02,-0.00;
0.07,-0.31,-0.18;
0.75,-0.27,-0.00;
0.37,-0.31,0.27;
-0.33,-0.01,-0.02;
-0.83,-0.13,0.27;
-1.11,-0.24,-0.08;
-1.00,-0.59,0.17;
-0.21,-0.19,-0.00;
-0.16,-0.34,0.18;
0.08,-0.17,-0.15;
0.23,-0.19,-0.26;
0.62,0.01,-0.03;
0.49,0.02,0.21;
0.08,0.07,-0.12;
-0.64,0.18,0.08;
-0.65,0.10,-0.12;
-1.20,0.01,0.11;
-1.38,-0.11,0.05;
-1.46,-0.30,0.01;
-1.40,-0.31,-0.18;
-1.57,-0.31,0.15;
-1.52,-0.07,0.26;
-1.66,0.09,-0.14;
-1.23,0.10,0.34;
-0.64,-0.40,0.32;
-0.42,-0.49,0.23;
-0.04,-0.37,0.09;
0.63,-0.62,0.21;
1.03,-0.14,0.49;
1.24,-0.14,0.58;
1.06,0.10,0.26;
0.48,-0.31,0.58;
0.58,-0.62,0.26;
0.62,-0.91,0.29;
0.68,-0.65,0.24;
0.80,-0.49,0.01;
0.83,-0.34,-0.06;
1.41,-0.10,-0.23;
2.25,-0.60,-0.17;
2.54,-0.92,0.11;
2.95,-0.95,0.03;
3.01,-0.85,-0.14;
3.01,-0.02,-0.06;
3.01,0.88,0.03;
3.56,1.89,-0.08;
3.79,2.42,-0.23;
3.97,2.77,-0.28;
3.21,3.09,-0.28;
2.71,3.15,-0.31;
1.97,3.38,-0.20;
0.31,3.58,-0.11;
-1.45,3.96,-0.03;
-3.20,4.89,-0.20;
-4.38,5.52,0.05;
-4.50,6.04,0.23;
-3.46,6.33,0.78;
-2.15,6.24,1.10;
0.33,6.10,1.27;
