-0.18,0.18,0.03;
-0.69,-0.36,-0.14;
-0.55,-0.42,0.01;
-0.12,-0.05,0.04;
-0.06,0.09,0.33;
-0.47,0.10,0.36;
-0.85,0.27,0.39;
-0.78,0.01,0.17;
-0.38,-0.17,0.32;
-0.03,-0.31,-0.03;
0.15,-0.26,0.17;
0.32,0.04,0.24;
0.41,0.13,0.39;
-0.01,-0.00,0.13;
-0.15,-0.43,-0.14;
-0.23,-0.86,-0.48;
-0.24,-0.69,-0.52;
-0.21,-0.58,-0.64;
0.12,-0.42,-0.67;
0.83,0.04,-0.16;
1.18,0.15,-0.09;
0.25,0.33,0.10;
-0.69,0.44,0.17;
-0.93,0.41,-0.12;
-1.34,0.58,-0.14;
-1.69,0.26,-0.35;
-1.71,0.07,-0.43;
-1.68,0.13,-0.66;
-1.33,0.09,-0.48;
-0.66,0.41,0.01;
0.67,0.18,0.10;
0.76,0.16,0.32;
0.69,0.70,0.56;
1.08,0.62,0.67;
0.63,0.26,0.24;
-0.44,0.24,-0.19;
-0.50,0.21,-0.41;
-0.32,0.39,-0.28;
-0.15,-0.00,-0.26;
0.26,0.19,0.01;
0.26,0.23,0.30;
-0.27,0.07,-0.03;
-0.27,0.18,0.09;
0.46,0.65,0.01;
1.33,0.85,0.01;
1.33,0.84,0.23;
0.69,0.59,0.10;
0.41,0.19,0.20;
0.60,-0.03,-0.16;
0.57,0.04,-0.31;
0.83,0.06,-0.12;
1.04,0.12,-0.03;
1.42,0.41,0.03;
1.50,0.62,0.07;
1.08,0.36,-0.05;
-0.08,0.03,-0.20;
-0.18,-0.19,-0.23;
-0.63,-0.11,-0.61;
-0.73,-0.08,-0.38;
-0.05,0.21,-0.02;
0.31,0.12,-0.02;
0.75,-0.28,-0.25;
0.49,-0.43,-0.41;
0.79,-0.43,0.01;
0.49,-0.34,-0.26;
-0.11,-0.40,-0.37;
-0.11,0.06,-0.32;
0.52,0.27,-0.48;
1.30,0.03,-0.25;
1.13,-0.25,-0.05;
0.84,-0.86,-0.31;
0.09,-1.24,-0.51;
-0.75,-1.06,-0.98;
-0.87,-0.66,-0.67;
0.08,-0.20,-0.45;
1.01,-0.13,-0.43;
1.34,-0.17,-0.11;
1.24,-0.40,-0.26;
0.89,-0.57,-0.38;
0.69,-0.74,-0.49;
0.57,-0.55,-0.26;
0.52,-1.13,-0.26;
-0.08,-0.75,-0.75;
-0.08,-0.77,-0.60;
0.20,-0.63,-0.92;
0.52,-0.63,-0.81;
0.58,-0.16,-0.43;
1.59,-0.17,-0.11;
1.95,-0.43,-0.19;
1.34,-0.28,0.10;
0.54,-0.25,-0.31;
0.37,-0.52,-0.69;
0.15,-0.29,-0.70;
0.72,-0.31,-0.49;
0.90,-0.49,-0.40;
0.83,-0.94,-0.78;
0.79,-0.58,-0.67;
1.28,-0.26,-0.51;
1.04,-0.05,-0.57;
0.86,-0.20,-0.57;
0.78,-0.29,-0.61;
0.90,-0.51,-0.66;
0.50,-0.45,-0.43;
0.18,-0.13,-0.49;
0.09,0.16,-0.58;
1.02,0.47,-0.16;
1.80,0.13,-0.00;
2.20,0.16,0.09;
2.40,-0.37,0.21;
1.10,-0.57,-0.19;
0.29,-0.42,-0.45;
0.47,-0.40,-0.72;
0.99,-0.57,-0.78;
0.92,-0.36,-0.64;
0.63,-0.66,-0.66;
0.17,-0.77,-0.69;
-0.11,-0.83,-0.51;
-0.05,-0.63,-0.22;
-0.27,-0.29,-0.29;
-0.63,0.01,-0.23;
-0.84,0.16,-0.23;
-0.96,0.32,-0.28;
-0.67,0.21,-0.45;
-0.34,0.19,-0.28;
-0.14,0.15,-0.25;
-0.63,0.16,-0.19;
-0.72,-0.14,-0.40;
-0.78,-0.19,-0.41;
-0.66,0.13,-0.41;
-0.55,0.33,-0.48;
-0.08,0.82,-0.45;
