-0.27,-0.17,0.09;
-0.06,-0.41,-0.03;
-0.20,-0.32,0.08;
-0.03,-0.20,0.08;
-0.07,0.03,0.23;
-0.12,0.17,0.09;
-0.15,-0.22,0.19;
0.12,-0.64,-0.06;
0.54,-0.57,0.00;
1.07,-0.52,0.08;
0.96,-0.34,0.12;
0.35,-0.22,-0.21;
-0.39,-0.08,-0.12;
-0.70,-0.28,-0.39;
-0.29,-0.38,-0.26;
0.15,-0.25,-0.09;
0.23,-0.34,0.20;
0.29,-0.20,0.09;
0.28,0.30,0.22;
-0.23,0.12,0.05;
-0.41,0.12,0.05;
-0.26,0.17,0.05;
-0.17,-0.40,0.09;
0.19,-0.40,-0.20;
0.31,-0.28,0.03;
0.60,-0.23,0.20;
0.38,-0.00,0.12;
0.00,0.17,0.09;
-0.09,0.09,0.12;
0.25,0.01,0.05;
0.37,-0.14,0.11;
-0.01,-0.12,-0.23;
-0.04,-0.15,-0.01;
0.23,-0.11,0.35;
0.31,-0.34,0.17;
0.46,-0.19,0.43;
0.37,-0.08,0.44;
0.26,-0.03,0.26;
-0.18,-0.05,0.09;
-0.55,0.06,-0.14;
-0.27,-0.09,0.08;
0.44,-0.29,-0.09;
0.92,-0.28,-0.29;
1.59,-0.46,-0.04;
1.82,-0.52,0.09;
1.03,-0.32,0.34;
-0.26,-0.06,0.12;
-1.36,0.12,-0.18;
-1.77,0.09,-0.33;
-0.78,0.11,-0.26;
-0.04,0.23,0.15;
0.95,0.07,0.25;
0.99,-0.08,0.22;
0.26,-0.02,0.19;
-0.21,0.01,-0.06;
-0.56,0.09,-0.07;
-0.33,0.09,-0.18;
-0.30,0.38,0.08;
0.11,-0.08,-0.17;
0.49,-0.08,0.03;
0.55,-0.15,0.25;
-0.24,0.38,0.08;
-0.81,0.49,0.11;
-1.05,0.50,-0.26;
-0.65,-0.02,0.14;
0.00,-0.25,0.02;
0.57,-0.48,0.02;
0.89,-0.40,-0.03;
0.63,-0.15,0.06;
-0.01,0.35,-0.07;
