-4.30,-1.95,0.73;
-5.23,-1.15,0.96;
-2.19,1.18,0.31;
1.47,0.95,-1.25;
0.25,-1.31,-2.21;
-0.06,-2.76,-2.14;
3.20,-2.10,-1.28;
6.58,0.39,-0.38;
5.94,0.77,-0.79;
2.05,0.42,-0.82;
-1.57,-0.50,-0.47;
-3.68,-0.79,0.35;
-2.24,0.25,0.92;
2.55,0.94,-0.01;
4.71,1.40,-0.59;
5.56,-0.57,-1.69;
3.59,-1.09,-1.30;
3.07,-1.28,-0.49;
2.66,-0.10,0.84;
1.52,0.36,0.96;
-0.36,-0.12,0.46;
-2.18,-0.80,-0.78;
-3.48,-0.62,-0.75;
-4.47,-0.45,-0.29;
-2.58,-0.62,0.29;
-0.21,-0.59,0.44;
3.07,-0.65,0.00;
4.48,-0.28,-0.50;
4.52,-0.36,-0.95;
3.33,0.08,-0.12;
1.97,0.68,0.89;
1.62,-0.91,0.09;
-2.73,-1.34,-0.66;
-3.08,-1.52,-0.56;
-0.07,0.49,0.23;
3.47,1.18,0.14;
4.81,0.68,0.40;
3.38,0.02,0.47;
3.30,0.07,0.84;
3.16,0.81,0.63;
4.19,1.98,0.05;
4.78,2.66,-0.49;
2.19,1.98,0.52;
-0.58,0.78,1.53;
1.10,0.66,2.95;
6.54,0.22,2.66;
10.80,0.39,0.43;
11.44,0.88,-1.45;
9.94,1.32,-1.34;
6.07,0.51,0.49;
2.61,2.04,2.50;
0.69,2.01,1.42;
-8.35,2.57,-1.14;
-15.03,0.48,-2.78;
-17.00,-0.60,-1.94;
-10.82,-0.88,-1.22;
-1.54,0.37,-1.82;
8.25,0.54,-3.51;
17.16,-0.24,-5.28;
22.14,-3.22,-5.54;
16.69,-3.23,-4.24;
8.55,-1.89,-1.51;
-0.15,-1.02,1.51;
-2.68,-1.28,2.78;
-5.60,-0.67,2.84;
-8.15,-1.63,3.10;
-3.28,-2.36,3.39;
3.38,-2.44,3.48;
9.42,-1.55,3.34;
13.85,0.57,1.99;
15.76,-0.21,1.54;
12.14,-2.19,3.15;
3.45,-2.88,6.44;
-2.62,-1.66,9.54;
-1.92,1.06,9.37;
0.87,3.43,5.94;
1.64,3.07,4.28;
0.66,2.75,4.40;
0.25,2.20,7.05;
0.07,1.91,7.80;
-1.26,2.11,7.36;
-2.84,0.16,5.42;
-2.61,1.27,3.04;
0.55,1.82,-0.58;
4.68,0.62,-3.76;
8.20,0.89,-2.09;
9.41,-0.21,1.74;
