2.46,-0.64,-1.40;
2.76,-0.87,-0.45;
0.90,1.13,1.35;
-0.32,1.04,1.24;
-1.13,-0.25,0.66;
-3.07,-1.22,-0.33;
-2.95,-0.03,-0.33;
-1.70,0.14,-0.42;
-0.40,0.10,-0.33;
2.06,-0.67,0.31;
2.55,-0.44,0.24;
1.95,-0.32,0.88;
-0.35,-0.19,1.12;
-3.53,0.62,0.72;
-4.02,1.37,-0.21;
-4.52,0.62,-1.72;
-2.64,-1.15,-2.70;
0.47,-1.57,-1.44;
1.88,-0.23,0.83;
4.23,1.69,2.68;
3.40,0.39,1.00;
0.59,-0.43,-0.63;
-3.59,-1.82,-1.18;
-7.31,0.10,-0.56;
-6.93,0.97,0.14;
-2.49,0.47,-0.10;
0.40,-0.54,0.59;
1.02,-0.64,0.37;
2.01,0.88,1.00;
2.62,-0.12,0.91;
0.26,-0.52,0.50;
-2.61,-0.55,0.43;
-3.25,0.24,0.16;
-1.16,1.25,-0.18;
-0.14,-0.15,0.13;
-1.63,-1.24,0.65;
-1.85,-0.81,0.68;
-2.05,-0.41,0.27;
-0.29,0.99,-0.86;
1.36,0.09,-0.92;
2.01,-0.78,0.05;
1.45,-0.89,2.25;
-0.32,0.75,2.69;
-1.76,0.49,2.07;
-3.71,-0.22,-0.15;
-3.97,-0.57,-1.57;
-2.76,-0.58,-0.88;
-2.11,0.75,0.14;
0.18,0.41,0.60;
2.20,-0.44,0.72;
1.48,0.43,0.28;
-0.52,0.39,0.45;
-3.13,0.24,-0.01;
-3.27,0.53,-0.60;
-2.98,0.20,-1.29;
-2.02,-0.09,-1.26;
0.09,-0.03,-0.41;
1.85,-0.26,0.14;
4.06,1.56,1.61;
2.56,0.79,0.98;
-0.32,0.65,-0.04;
-1.07,-0.69,-0.94;
-2.22,0.27,-0.01;
-0.57,1.74,1.61;
0.67,0.79,1.12;
-0.31,-0.38,0.86;
-1.86,-0.48,0.37;
-1.65,0.67,0.60;
-1.07,1.04,1.08;
-0.34,1.45,0.54;
-0.17,1.81,1.15;
-1.07,1.23,0.94;
-1.67,1.17,1.46;
-2.81,0.35,1.24;
-2.38,0.73,1.52;
-0.57,0.73,2.25;
1.46,1.56,2.72;
0.53,1.16,1.67;
-0.60,1.95,1.82;
-1.80,0.99,1.87;
-1.82,-0.37,1.18;
-3.41,1.01,1.03;
-5.22,0.55,0.56;
-4.05,1.52,-0.02;
2.46,3.69,1.34;
5.98,2.58,1.61;
3.20,-0.02,1.73;
2.01,-1.86,1.26;
2.17,1.05,1.05;
4.95,4.07,1.55;
6.46,6.10,0.30;
6.32,3.36,-1.87;
2.27,0.50,-0.94;
