-1.19,0.77,-0.21;
-1.06,0.86,0.49;
0.07,0.65,0.32;
0.27,0.52,0.09;
0.53,0.48,-0.43;
0.61,0.78,-0.06;
-0.12,0.65,0.61;
-0.26,0.95,0.64;
0.18,0.71,0.20;
0.78,0.26,0.24;
0.32,0.77,0.55;
0.73,1.04,0.26;
0.55,0.92,-0.06;
1.01,0.55,-0.18;
1.48,0.34,-0.32;
1.16,0.60,-0.05;
-1.18,0.45,0.78;
-2.89,0.14,1.13;
-4.17,0.83,1.25;
-2.29,0.89,0.59;
-0.35,0.63,0.41;
0.79,0.22,0.26;
0.67,0.74,0.04;
1.05,0.84,-0.26;
1.45,0.77,-0.41;
1.75,0.16,-0.09;
0.79,-0.06,0.09;
-1.54,0.29,0.24;
-2.11,0.43,0.11;
-1.44,0.63,0.32;
1.14,0.20,-0.18;
1.37,0.17,-0.31;
1.48,0.14,-0.43;
1.28,0.32,-0.23;
0.06,0.05,-0.54;
-0.93,0.55,-0.40;
0.61,0.80,-0.46;
1.92,0.20,-0.38;
2.72,-0.24,-0.98;
0.88,0.39,-1.01;
0.33,0.71,-0.60;
0.10,0.75,-0.00;
2.14,0.19,-0.12;
2.81,0.16,-0.41;
3.11,-0.03,-0.64;
1.71,-0.13,-0.41;
0.33,0.40,-0.03;
0.43,0.57,0.32;
1.43,0.10,-0.46;
2.07,-0.04,-0.72;
1.56,-0.16,-0.69;
0.26,0.00,0.12;
-1.51,-0.24,0.85;
-0.81,-0.09,0.53;
0.58,-0.21,0.23;
1.04,-0.10,-0.54;
1.14,0.00,-0.58;
0.46,-0.07,-0.35;
-0.58,0.20,0.26;
-0.51,0.22,0.70;
-0.78,-0.13,0.50;
-0.70,0.00,0.52;
-1.25,-0.15,0.27;
-0.03,-0.27,0.30;
0.91,-0.18,-0.05;
1.49,-0.32,-0.14;
1.22,-0.32,-0.26;
0.12,-0.50,-0.12;
0.38,0.32,0.26;
1.92,-0.23,0.03;
2.03,-0.56,-0.37;
0.90,-0.64,0.14;
-0.12,-0.27,0.49;
-0.26,-0.03,0.99;
0.50,-0.07,0.09;
3.08,-0.81,-0.52;
3.91,-1.08,-0.84;
3.25,-0.59,-0.89;
1.89,0.29,-0.23;
1.17,-0.47,-0.46;
0.91,-0.39,-0.20;
1.10,-0.15,0.24;
0.24,0.36,0.01;
0.18,0.89,-0.02;
0.17,0.48,0.06;
0.32,0.40,-0.06;
-1.22,1.18,0.50;
-1.02,1.09,0.11;
0.43,0.95,-0.25;
-0.57,1.36,-1.24;
-0.95,2.11,-2.35;
-1.51,3.55,-2.15;
-1.56,3.42,-2.54;
0.58,4.06,-2.58;
1.95,4.43,-2.50;
2.85,4.34,-3.21;
2.33,4.72,-3.44;
2.20,6.49,-3.60;
4.73,7.09,-3.89;
5.85,7.50,-4.11;
4.01,8.08,-5.59;
2.69,8.95,-7.24;
0.07,11.03,-6.89;
-3.77,12.51,-6.96;
-3.48,14.51,-6.20;
-1.22,14.00,-7.10;
-2.06,16.39,-9.27;
0.32,14.11,-13.59;
-4.58,13.19,-15.91;
-8.08,17.30,-12.90;
-4.63,17.00,-8.11;
-0.70,13.94,-4.41;
-0.89,10.78,-4.06;
-0.52,7.45,-6.12;
-7.35,3.76,-4.81;
-18.08,3.70,1.05;
-23.39,3.55,5.89;
-16.14,3.33,6.82;
-8.40,0.86,4.24;
0.46,-1.95,2.12;
7.48,-2.36,4.23;
11.88,-4.23,7.83;
13.89,-6.24,10.00;
11.85,-7.35,11.05;
4.58,-8.74,10.18;
-1.64,-7.14,8.26;
-3.83,-5.64,7.42;
-5.09,-7.03,7.20;
-6.31,-8.41,6.81;
-5.96,-8.70,4.20;
-7.35,-9.26,3.48;
-10.28,-8.71,6.32;
-11.12,-8.50,7.92;
-9.88,-7.80,6.52;
-0.75,-9.58,3.48;
3.56,-10.59,3.16;
-0.41,-10.04,3.08;
-6.99,-7.95,3.22;
-13.67,-6.55,6.23;
-15.09,-7.54,7.97;
-10.49,-7.49,7.63;
-6.66,-7.52,6.01;
-4.48,-7.14,5.19;
-5.06,-6.33,4.08;
-4.17,-6.64,2.64;
-3.04,-6.18,0.09;
-2.83,-4.85,-1.56;
-1.19,-3.87,-1.92;
1.40,-3.63,-1.30;
4.04,-4.16,-2.58;
2.53,-2.50,-2.78;
-0.98,-2.48,-2.31;
-5.22,-1.49,-0.54;
-7.48,0.08,1.85;
-7.06,-0.56,1.60;
-6.63,-1.75,0.15;
-5.15,-2.09,-0.26;
-1.88,-1.08,1.56;
-0.66,-0.41,2.47;
-2.43,0.19,1.83;
-6.92,-0.44,0.62;
-12.22,-0.76,0.06;
-16.34,0.36,0.06;
-13.36,1.82,-0.90;
-9.90,2.05,-0.63;
-11.48,1.01,1.11;
-19.12,3.96,2.43;
-23.30,8.36,3.79;
-18.26,8.98,2.47;
-7.50,6.57,1.08;
0.94,5.50,-0.02;
4.79,5.48,-1.34;
-0.37,4.46,-1.70;
-12.54,2.71,0.90;
-19.41,1.87,5.27;
-24.08,1.04,7.07;
-23.25,-0.01,5.43;
-22.89,-0.99,4.04;
-18.55,-2.32,3.65;
-11.86,-4.62,3.02;
-8.32,-4.85,2.20;
-6.55,-4.82,0.69;
-6.96,-7.35,-1.36;
-7.41,-7.87,-1.36;
-6.20,-7.60,0.40;
-3.47,-7.52,2.37;
-3.86,-8.67,1.22;
