0.24,-0.85,-0.36;
0.19,-0.96,-0.53;
1.17,-1.18,-0.77;
1.53,-1.37,-0.86;
0.51,-1.08,-0.63;
0.33,-0.93,-0.65;
0.82,-1.02,-0.62;
1.59,-0.90,-0.79;
1.12,-0.76,-0.45;
1.14,-0.81,-0.34;
0.54,-0.64,-0.31;
0.54,-0.69,-0.16;
0.33,-0.35,-0.37;
0.02,-0.63,-0.48;
0.14,-0.46,-0.56;
0.40,-0.66,-0.25;
-0.42,-0.29,-0.39;
-0.13,-0.40,-0.54;
0.14,-0.35,-0.53;
0.43,-0.18,-0.71;
0.46,-0.56,-0.37;
0.56,-0.53,-0.47;
0.92,-0.73,-0.28;
1.15,-0.84,-0.85;
0.91,-0.78,-0.57;
0.95,-0.79,-0.70;
0.16,-0.66,-0.54;
0.46,-0.67,-0.70;
0.62,-0.72,-0.42;
0.68,-0.61,-0.57;
-0.28,-0.34,-0.22;
-0.36,-0.49,-0.30;
0.37,-0.47,-0.33;
0.07,-0.37,-0.34;
-0.39,-0.17,-0.50;
-0.13,-0.38,-0.16;
-0.21,-0.37,-0.15;
-0.02,-0.58,-0.16;
-0.18,-0.31,0.07;
0.11,-0.46,-0.22;
0.04,-0.50,-0.02;
0.17,-0.47,-0.27;
-0.25,-0.55,-0.13;
0.11,-0.67,0.02;
0.21,-0.73,-0.01;
0.48,-0.72,0.05;
1.11,-0.69,-0.13;
1.20,-0.55,-0.16;
0.57,-0.26,0.10;
-0.31,-0.18,0.33;
-1.37,0.12,0.54;
-0.79,0.20,0.36;
-0.53,0.05,0.14;
-0.41,-0.21,0.10;
-0.33,-0.11,-0.05;
-0.38,-0.05,0.18;
-0.04,-0.05,-0.08;
-0.47,0.23,0.19;
-0.77,-0.11,-0.04;
-0.30,-0.29,-0.16;
0.34,-0.40,0.21;
0.34,-0.29,-0.12;
0.75,-0.35,-0.13;
0.95,-0.43,-0.08;
0.56,-0.60,-0.22;
0.36,-0.81,0.01;
0.48,-0.63,-0.19;
0.19,-0.46,-0.15;
0.37,-0.64,-0.08;
0.28,-0.92,-0.19;
0.66,-0.75,-0.34;
0.43,-0.47,-0.21;
-1.35,0.24,-0.08;
-2.47,0.57,0.01;
-1.47,0.53,-0.08;
-1.87,0.99,0.07;
-3.93,1.74,0.63;
-6.25,2.70,0.74;
-8.83,3.83,1.14;
-11.38,4.21,1.53;
-9.35,4.34,1.20;
-7.72,4.72,1.08;
-6.38,3.94,1.52;
-7.09,4.79,1.63;
-7.37,5.57,1.66;
-8.01,6.00,1.88;
-6.07,5.50,1.64;
-3.66,5.40,1.59;
-2.21,5.02,1.61;
-4.30,6.03,1.81;
-6.53,7.05,1.70;
-6.18,6.96,1.73;
-6.19,7.01,1.96;
-7.29,6.76,2.14;
-7.38,6.35,2.21;
-6.86,5.92,1.92;
-4.54,4.90,1.32;
-1.89,3.71,1.38;
-0.42,3.48,0.88;
-3.11,3.62,1.09;
