0.33,0.42,0.59;
0.50,0.77,0.73;
0.61,1.24,0.56;
0.41,1.46,0.77;
0.01,1.76,0.86;
-0.05,2.02,1.05;
0.27,1.84,1.02;
0.41,1.78,0.77;
0.30,1.60,0.80;
0.06,1.37,0.82;
0.42,1.52,1.15;
0.15,1.09,0.85;
-0.07,1.02,0.86;
0.15,0.71,0.56;
1.06,0.18,1.02;
0.77,-0.27,0.48;
0.97,-0.85,0.99;
0.99,-1.05,0.86;
0.56,-1.88,0.96;
0.38,-1.96,0.85;
0.39,-2.18,0.94;
0.36,-2.53,0.85;
0.18,-2.71,0.80;
-0.10,-2.74,0.89;
0.02,-2.74,1.05;
-0.17,-3.15,0.91;
-0.31,-2.88,0.92;
-0.27,-2.91,1.18;
0.50,-2.68,0.82;
-0.10,-2.76,1.20;
0.28,-2.91,1.03;
0.28,-2.77,0.99;
0.15,-2.91,1.31;
-0.11,-3.14,1.02;
-0.43,-3.21,1.44;
-1.06,-3.23,1.17;
-0.97,-3.29,1.31;
-1.07,-3.03,1.25;
-0.72,-3.05,1.21;
-0.11,-2.89,1.20;
-0.07,-2.72,1.32;
0.06,-2.62,1.34;
-0.34,-2.28,1.11;
-0.23,-2.11,1.09;
0.06,-1.99,1.21;
-0.78,-1.47,1.11;
-0.36,-1.20,1.41;
-0.37,-0.74,1.40;
0.19,-0.08,1.25;
1.75,0.68,1.03;
2.64,1.81,0.88;
3.29,2.59,0.83;
3.86,3.28,0.71;
3.31,4.04,0.68;
2.33,4.41,0.97;
1.34,4.51,0.74;
0.71,4.66,0.76;
1.31,4.53,0.97;
1.54,4.34,0.94;
1.43,3.96,0.79;
1.22,3.66,0.82;
0.67,3.47,1.05;
0.13,2.99,0.96;
-0.31,2.68,1.17;
0.12,2.45,1.20;
-0.37,1.70,1.17;
-0.19,1.28,1.11;
-0.36,1.15,1.02;
-0.63,0.88,0.96;
-0.40,0.60,1.14;
-0.65,0.54,1.11;
-0.75,0.21,0.80;
-0.65,0.16,1.00;
-0.51,-0.04,1.02;
-0.65,-0.01,0.88;
-0.14,-0.04,0.88;
-0.04,-0.05,0.88;
0.27,-0.16,0.96;
0.57,-0.33,0.82;
0.61,-0.36,0.60;
0.71,-0.34,0.85;
0.28,-0.45,0.56;
0.48,-0.43,0.85;
0.25,-0.59,0.53;
0.19,-0.79,0.62;
-0.13,-0.89,0.38;
-0.49,-0.85,0.83;
-0.02,-1.08,0.74;
-0.23,-0.57,0.92;
0.13,-0.50,0.79;
-0.37,-0.56,0.59;
-0.63,-0.34,0.70;
-0.54,-0.37,0.71;
-0.62,-0.07,0.54;
-0.45,-0.02,0.74;
-0.27,0.02,0.76;
-0.23,0.31,0.89;
-0.49,0.47,0.68;
-0.22,0.47,0.85;
-0.31,0.82,0.86;
-0.19,1.81,0.70;
0.19,1.82,0.86;
0.71,2.60,0.57;
0.90,3.96,0.56;
1.14,6.39,0.09;
8.68,17.98,-1.35;
13.38,31.29,-3.03;
17.98,44.80,-2.30;
14.38,31.96,0.71;
12.28,21.75,1.92;
7.43,19.46,2.27;
8.45,10.37,3.81;
7.26,3.64,4.13;
9.58,-0.97,4.68;
13.83,-7.35,4.88;
14.73,-11.47,4.01;
14.97,-15.78,4.54;
15.64,-19.82,4.34;
16.19,-23.72,4.38;
17.63,-26.88,3.52;
18.67,-29.55,2.67;
18.77,-33.27,1.38;
16.91,-36.31,0.04;
14.15,-38.68,-0.66;
12.33,-41.96,-1.12;
9.90,-44.60,-1.98;
8.04,-47.18,-2.54;
4.36,-51.17,-2.82;
7.00,-55.87,-3.62;
8.42,-60.86,-5.43;
7.37,-65.20,-6.79;
4.64,-71.52,-7.53;
-1.46,-88.95,-1.52;
-0.83,-86.85,-6.39;
-0.16,-99.81,-6.63;
2.68,-108.53,-4.01;
6.61,-116.88,-3.46;
6.83,-118.57,-3.18;
2.41,-117.44,-1.82;
9.96,-117.32,-2.24;
13.49,-117.58,-0.07;
9.81,-120.08,-0.60;
-1.98,-124.10,1.31;
-12.60,-124.74,-1.01;
-19.50,-116.21,-5.59;
-15.78,-109.84,-4.66;
-14.39,-107.76,-5.15;
-11.23,-101.55,-6.56;
-14.65,-92.74,-8.31;
-15.90,-80.27,-11.32;
-7.79,-65.26,-14.05;
0.36,-46.63,-16.60;
9.14,-28.37,-20.14;
6.47,-8.27,-23.62;
9.00,16.60,-23.46;
16.68,41.38,-21.85;
18.45,61.06,-21.76;
15.98,83.67,-24.08;
8.21,103.81,-26.14;
10.48,118.27,-24.98;
6.70,118.99,-25.46;
23.02,131.78,-29.11;
68.93,182.19,-23.23;
53.84,167.02,-11.70;
53.37,175.41,22.02;
37.55,191.66,37.81;
-20.10,172.73,65.96;
-10.05,145.15,68.96;
-53.50,112.05,80.68;
