1.25,0.71,-0.01;
0.13,0.43,0.16;
-0.07,0.36,0.04;
-0.08,0.59,0.42;
-0.31,0.46,0.25;
0.21,0.45,0.22;
0.22,0.72,-0.10;
-0.37,0.45,-0.01;
-0.78,0.75,0.18;
-1.35,0.56,-0.22;
-1.12,0.68,-0.22;
-0.63,0.43,-0.17;
-1.00,0.39,-0.34;
-0.92,0.36,-0.16;
-0.89,0.63,-0.02;
0.06,0.43,-0.10;
-0.27,0.46,-0.36;
-0.65,0.45,0.02;
-0.78,0.46,-0.20;
-0.92,0.45,-0.01;
-0.20,0.42,-0.31;
-0.49,0.43,-0.07;
-0.52,0.40,-0.07;
-0.42,0.30,0.05;
-0.13,0.48,0.21;
-0.48,0.13,-0.25;
-0.88,0.37,-0.02;
-1.10,0.51,-0.27;
-0.49,0.28,-0.19;
-0.62,0.20,-0.40;
-0.97,0.36,-0.19;
-0.72,0.34,-0.01;
-1.00,0.28,-0.02;
-0.86,0.51,-0.08;
-1.07,0.33,-0.05;
-0.81,0.30,-0.07;
-0.30,0.40,-0.28;
-1.00,0.34,-0.16;
-1.82,0.51,0.02;
-1.01,0.36,0.18;
-0.49,0.48,-0.01;
-0.43,0.53,0.16;
-1.03,0.82,0.07;
-1.59,0.75,0.18;
-1.53,0.79,0.25;
-0.65,0.63,0.13;
-1.00,0.57,-0.10;
-1.23,0.56,0.27;
-1.17,0.66,0.38;
-0.95,0.53,0.24;
-0.78,0.57,0.35;
-0.75,0.59,0.13;
-1.04,0.53,0.53;
-0.83,0.82,0.54;
-0.52,0.74,0.50;
-0.07,0.68,0.64;
-0.51,0.60,0.59;
-0.78,0.62,0.64;
-0.56,0.77,0.67;
-0.34,0.56,0.50;
-0.59,0.54,0.65;
0.09,0.48,0.65;
-0.23,0.54,0.57;
-1.12,0.71,0.57;
-1.38,0.45,0.67;
-0.92,0.77,0.42;
-0.94,0.83,0.41;
-0.88,0.86,0.36;
-0.51,0.69,0.28;
-0.83,0.82,0.56;
-0.98,0.80,0.39;
-1.14,0.75,0.42;
-1.18,0.77,0.48;
-0.91,0.62,0.59;
-0.49,0.79,0.35;
0.16,0.66,0.25;
-0.46,0.57,0.13;
-0.97,0.57,0.50;
-0.40,0.51,0.31;
-0.43,0.51,0.21;
-0.59,0.79,0.12;
-0.33,0.69,0.33;
-0.51,0.42,0.24;
-1.00,0.74,0.39;
-1.14,0.53,0.59;
-0.23,0.42,0.22;
-0.19,0.42,0.51;
-0.36,0.33,0.44;
-0.43,0.39,0.41;
-0.63,0.46,0.38;
-0.77,0.54,0.41;
-0.74,0.59,0.07;
-0.91,0.77,0.39;
-0.83,0.60,0.16;
-0.86,0.48,0.62;
-0.62,0.39,0.21;
-0.17,0.14,0.27;
-0.05,0.25,0.24;
0.15,0.37,0.13;
-0.94,0.53,0.45;
-0.98,0.30,0.45;
-0.69,0.65,0.30;
-0.60,0.65,-0.11;
-0.72,0.43,0.02;
-0.86,0.34,-0.08;
-1.14,0.59,0.19;
-1.32,0.57,-0.01;
-1.24,0.45,0.25;
-1.09,0.54,0.05;
-0.63,0.46,-0.08;
-0.23,0.51,0.18;
-0.30,0.24,0.10;
-0.46,0.07,-0.08;
