-0.11,0.24,0.06;
0.03,0.13,-0.12;
-0.24,0.11,-0.09;
-0.46,0.19,-0.18;
-0.67,0.27,-0.09;
-0.79,-0.02,-0.10;
-0.55,0.19,-0.07;
-0.66,0.16,-0.06;
-0.64,-0.05,0.03;
-0.17,0.28,-0.10;
0.00,0.05,-0.29;
0.03,0.11,-0.03;
-0.38,0.16,-0.16;
-0.56,0.02,-0.21;
0.06,0.25,-0.29;
0.06,0.13,-0.16;
-0.21,0.05,-0.12;
-0.07,0.16,-0.33;
-0.21,0.22,-0.12;
-0.29,0.16,-0.06;
-0.35,0.24,-0.03;
-0.38,0.54,-0.24;
-0.27,0.20,-0.15;
0.08,0.42,-0.39;
-0.21,0.24,-0.26;
-0.17,0.27,-0.29;
-0.44,0.22,-0.13;
-0.24,0.36,-0.16;
-0.38,0.16,-0.23;
0.09,0.37,-0.29;
0.00,0.24,-0.10;
0.02,0.31,-0.18;
0.17,0.19,-0.30;
-0.04,0.17,-0.12;
-0.18,0.36,-0.26;
0.20,0.10,-0.30;
0.18,0.22,-0.19;
0.52,0.16,-0.30;
-0.50,0.20,-0.10;
0.22,0.16,-0.18;
-0.09,0.22,-0.27;
-0.32,0.30,-0.21;
-0.67,-0.09,-0.38;
-0.20,0.08,-0.26;
0.44,-0.16,-0.24;
0.83,-0.42,-0.56;
0.81,-0.59,-0.64;
0.51,-0.33,-0.38;
-0.03,-0.27,-0.50;
-0.52,0.04,-0.48;
-0.21,-0.05,-0.59;
-0.21,-0.01,-0.70;
-0.69,0.27,-0.19;
-0.33,0.39,-0.33;
-1.40,0.92,-0.29;
-1.20,0.92,-0.30;
-0.27,0.75,-0.61;
0.96,0.36,-0.68;
1.31,0.48,-0.79;
0.90,0.34,-0.53;
0.84,0.36,-0.39;
0.57,0.51,-0.61;
1.01,0.85,-0.47;
0.51,1.44,-0.38;
0.63,1.72,-0.18;
-0.07,2.05,-0.16;
-1.33,2.46,0.14;
-2.32,2.97,0.20;
-3.59,3.08,0.48;
-4.04,2.91,0.29;
-3.72,2.54,0.28;
-3.49,1.96,0.32;
-3.31,1.59,0.11;
-3.20,1.46,0.14;
-3.14,0.77,0.17;
-2.87,0.60,0.16;
-2.04,0.17,0.16;
-2.03,-0.04,0.14;
-2.07,-0.47,-0.19;
-1.97,-0.80,0.11;
-2.70,-0.92,0.16;
-2.98,-1.09,0.20;
-0.41,-2.05,-0.23;
0.20,-2.22,-0.33;
-0.12,-2.18,-0.27;
-0.40,-2.34,-0.38;
-0.03,-2.70,-0.26;
-0.35,-2.68,0.02;
-0.98,-2.77,0.22;
-0.50,-2.92,0.10;
-0.62,-3.31,-0.23;
-0.46,-3.63,-0.07;
0.41,-3.83,-0.58;
-0.06,-3.86,-0.36;
-0.17,-3.52,-0.33;
-0.73,-2.97,0.08;
-1.17,-2.34,0.11;
-1.45,-1.46,0.58;
0.26,-0.44,0.69;
-2.03,1.17,0.77;
-2.62,1.99,1.10;
-3.45,2.80,1.35;
-2.82,2.66,1.44;
-1.27,3.01,0.98;
0.40,2.65,0.68;
-0.01,2.83,1.07;
-1.71,3.32,0.89;
-1.72,3.61,1.01;
-2.30,3.29,1.35;
-1.62,2.80,1.04;
-1.72,2.86,0.81;
-0.82,2.30,0.57;
0.46,1.75,0.45;
-0.90,1.70,0.68;
-0.56,1.43,0.48;
-0.20,1.29,0.37;
-0.95,1.18,0.49;
-1.42,0.33,0.26;
-0.38,-0.48,0.60;
1.79,-1.67,-0.27;
3.99,-2.89,-0.85;
4.75,-3.81,-1.34;
4.41,-4.53,-1.57;
5.12,-5.47,-1.77;
6.08,-6.02,-1.89;
6.55,-6.38,-2.27;
6.11,-5.96,-2.33;
4.76,-5.57,-2.32;
2.83,-5.12,-1.97;
1.89,-5.08,-2.13;
2.49,-5.31,-2.24;
2.02,-5.29,-2.50;
-0.03,-5.26,-2.52;
-1.51,-5.40,-2.38;
-2.24,-6.18,-2.77;
-2.41,-7.41,-2.91;
-3.33,-8.02,-3.66;
-2.01,-9.73,-4.44;
-0.35,-12.05,-5.61;
-0.62,-14.44,-6.94;
-2.20,-16.97,-7.57;
-3.86,-19.99,-8.65;
-6.62,-23.61,-10.00;
-12.84,-27.28,-11.63;
-17.54,-32.50,-12.68;
-14.38,-40.42,-15.40;
-15.57,-47.34,-18.04;
-19.42,-53.75,-19.52;
-25.46,-60.68,-21.48;
-35.13,-70.51,-24.07;
-45.98,-80.36,-25.97;
-47.95,-90.41,-26.48;
-59.63,-100.07,-22.93;
-69.42,-110.38,-22.01;
-56.43,-123.69,-27.65;
-36.78,-132.88,-35.61;
70.06,-160.38,-40.94;
133.38,-167.38,-41.46;
74.15,-151.32,-32.16;
-108.32,-125.02,-1.48;
-116.06,-131.15,17.24;
-17.17,-147.86,16.84;
47.91,-138.63,-12.26;
-0.58,-126.91,-3.97;
14.69,-121.81,5.15;
44.72,-114.34,-13.63;
2.44,-90.05,-1.42;
-34.53,-64.94,17.61;
-35.77,-47.80,17.41;
-15.53,-24.54,11.15;
13.33,-3.35,3.74;
21.21,17.95,2.92;
6.92,50.20,10.43;
2.47,76.65,16.92;
12.08,105.76,19.19;
15.10,128.92,20.43;
12.58,155.90,24.28;
-1.36,176.83,24.83;
-34.79,197.17,22.32;
-59.88,218.91,16.46;
-79.72,236.42,16.61;
-78.23,245.79,21.29;
-68.36,237.56,30.28;
-65.05,204.51,37.81;
-46.23,185.11,34.05;
19.07,140.97,14.72;
45.85,96.65,-22.90;
-41.40,83.33,-32.48;
-62.52,63.90,-18.58;
-35.24,49.49,-9.06;
-41.27,43.35,-1.40;
-30.43,27.66,-4.91;
-25.57,14.04,-14.50;
-16.44,-4.01,-26.03;
-9.17,-23.34,-35.06;
5.47,-42.79,-43.17;
42.08,-67.31,-56.13;
78.29,-86.65,-67.92;
110.66,-100.07,-78.55;
112.38,-111.78,-87.66;
121.74,-142.65,-91.17;
9.31,-156.89,-65.54;
103.42,-245.28,-52.39;
45.57,-214.38,-60.96;
-49.16,-168.79,-33.52;
-79.42,-177.87,-15.48;
6.58,-185.83,-6.32;
-18.50,-171.03,-0.70;
-24.70,-158.33,-11.11;
-104.52,-134.65,-3.51;
-82.76,-109.76,-14.64;
0.66,-102.71,-58.35;
14.66,-103.34,-65.10;
86.67,-93.57,-70.67;
12.54,-51.20,-39.55;
-15.14,-23.20,-20.61;
-7.85,0.82,7.64;
10.78,30.17,5.16;
20.89,56.16,6.45;
26.66,83.37,10.71;
38.61,115.78,19.96;
56.41,145.75,24.13;
60.02,172.86,29.41;
58.67,197.96,36.35;
23.99,213.04,41.50;
-58.46,223.41,49.48;
-113.63,223.11,63.68;
-141.63,218.72,67.50;
-162.67,200.10,102.17;
-188.49,193.53,123.42;
-132.58,172.89,110.92;
-70.76,142.22,93.30;
3.65,93.47,75.76;
44.80,49.09,58.00;
52.29,15.15,45.93;
51.83,-8.80,39.59;
41.02,-13.03,37.55;
64.70,-23.72,32.10;
97.41,-35.54,25.61;
92.92,-44.30,28.94;
89.82,-54.42,27.97;
95.85,-64.92,14.66;
91.02,-72.44,9.81;
84.38,-87.35,4.87;
68.41,-110.53,5.12;
44.63,-132.73,-1.80;
11.94,-119.11,-18.04;
2.40,-159.12,-22.85;
-134.17,-150.33,-6.15;
-216.20,-119.84,-13.08;
-20.79,-149.32,-50.68;
47.41,-166.83,-50.52;
47.48,-166.47,-36.26;
