0.17,0.43,0.09;
0.00,0.45,0.21;
0.14,0.52,0.12;
0.16,0.45,0.15;
0.16,0.63,-0.16;
0.17,0.35,0.24;
-0.03,0.13,-0.10;
0.17,0.08,0.36;
0.04,-0.03,0.12;
-0.13,-0.23,-0.17;
0.04,-0.41,-0.25;
0.08,-0.58,-0.31;
0.02,-0.16,-0.36;
0.07,-0.24,-0.28;
-0.38,-0.44,-0.33;
0.19,0.61,-0.48;
0.28,1.48,-0.19;
0.14,1.61,-0.14;
0.33,1.38,0.03;
0.04,0.75,0.09;
-0.12,0.08,-0.00;
0.16,0.19,-0.02;
0.13,-0.36,-0.02;
0.13,-0.50,-0.07;
-0.25,-0.70,-0.11;
-0.07,-0.35,-0.07;
0.00,0.46,0.16;
0.34,1.21,0.44;
0.39,0.69,0.36;
0.25,0.66,0.71;
0.20,0.63,0.68;
-0.06,0.00,0.42;
-0.16,-0.59,0.32;
-0.33,-0.93,0.01;
-0.07,-0.44,-0.33;
-0.01,-0.36,-0.10;
0.20,0.39,0.03;
0.20,0.87,-0.02;
0.42,1.13,-0.08;
0.31,1.15,-0.20;
0.14,0.75,-0.34;
0.07,0.13,-0.37;
-0.10,-0.52,-0.49;
-0.25,-0.12,-0.69;
-0.22,-0.81,-0.62;
0.02,0.06,-0.68;
0.13,0.25,-0.37;
-0.13,-0.20,-0.25;
-0.01,-0.09,-0.20;
-0.04,-0.21,-0.13;
0.05,-0.04,-0.11;
0.19,0.22,0.32;
0.10,0.37,0.13;
0.26,0.64,-0.29;
0.20,0.37,0.07;
0.02,0.28,-0.00;
0.11,0.25,-0.00;
-0.03,-0.06,-0.02;
0.29,0.93,0.01;
0.16,0.87,0.24;
0.17,1.06,0.39;
0.14,0.64,0.42;
0.14,0.52,0.18;
0.05,0.14,0.09;
0.16,-0.23,0.03;
0.05,0.13,-0.13;
-0.04,-0.01,-0.07;
-0.10,-0.12,0.07;
0.11,0.49,-0.13;
0.08,0.54,0.07;
0.13,0.77,-0.07;
0.04,0.34,0.03;
-0.18,-0.70,0.12;
-0.01,-0.47,-0.08;
0.07,-0.47,0.03;
0.02,-0.73,-0.40;
0.07,-0.41,-0.37;
-0.30,-0.50,-0.29;
0.08,0.61,-0.08;
0.37,1.70,-0.04;
0.58,1.87,0.24;
0.23,1.50,0.36;
0.26,0.66,0.18;
0.04,-0.27,-0.11;
-0.09,-0.64,-0.26;
-0.04,-0.78,-0.39;
0.02,-0.47,-0.16;
0.08,0.11,-0.04;
0.31,0.69,0.26;
0.20,1.22,0.48;
0.39,1.59,0.30;
0.11,0.83,0.56;
0.13,0.35,0.53;
0.04,0.23,0.22;
-0.03,-0.42,0.26;
-0.16,-0.71,0.19;
-0.01,-0.67,0.29;
0.00,-0.39,-0.00;
0.00,-0.12,0.24;
0.23,0.32,0.12;
0.22,0.28,-0.11;
0.25,0.34,-0.33;
0.14,0.51,-0.04;
0.33,0.83,-0.19;
0.31,0.58,-0.23;
0.10,-0.04,-0.37;
0.10,0.22,-0.39;
-0.03,0.26,-0.29;
0.02,0.35,-0.33;
0.20,0.49,-0.42;
0.34,1.00,-0.29;
0.28,0.86,0.07;
0.23,0.54,0.38;
0.20,0.68,0.27;
0.10,0.61,-0.26;
-0.04,-0.18,-0.20;
0.22,0.77,0.09;
0.07,0.57,0.16;
0.02,0.26,-0.17;
0.04,0.28,0.03;
0.05,0.77,-0.54;
0.20,0.77,-0.28;
0.19,1.03,-0.42;
0.29,1.91,-0.14;
0.26,1.53,-0.13;
0.45,1.55,-0.19;
0.29,1.30,0.10;
0.17,0.37,-0.20;
-0.24,-0.29,-0.19;
-0.04,-0.04,-0.28;
-0.09,0.05,-0.00;
0.23,0.34,0.01;
0.25,0.39,0.01;
0.46,0.68,0.21;
0.00,-0.04,-0.07;
-0.06,-0.42,-0.25;
0.08,-0.84,-0.72;
-0.24,-0.93,-0.72;
-0.10,-0.29,-0.71;
0.07,0.16,-0.42;
0.13,0.45,-0.22;
0.26,1.12,-0.14;
0.00,0.81,-0.17;
0.13,1.04,-0.04;
0.23,0.42,0.36;
-0.03,-0.62,0.15;
-0.06,-0.68,0.04;
-0.12,-1.05,-0.08;
-0.06,-0.53,-0.20;
0.25,0.23,0.04;
0.19,0.42,-0.14;
0.19,0.46,0.06;
0.10,0.16,0.10;
0.16,0.16,0.38;
0.04,0.08,0.03;
-0.15,-0.59,-0.02;
-0.15,-0.27,0.07;
0.02,-0.42,0.06;
-0.01,-0.53,0.50;
-0.03,0.00,0.30;
0.22,0.08,0.44;
0.17,0.61,0.26;
0.17,0.81,-0.22;
0.22,0.39,-0.14;
0.16,0.48,-0.29;
0.16,0.45,-0.45;
0.19,0.32,-0.40;
-0.13,-0.36,-0.39;
-0.06,-0.16,-0.26;
0.25,0.17,-0.16;
-0.01,0.17,-0.22;
0.14,0.57,-0.11;
0.13,0.45,0.04;
0.16,0.49,-0.14;
0.10,0.37,-0.16;
0.11,0.16,-0.02;
-0.15,-0.55,0.29;
-0.19,-0.78,-0.05;
0.04,-0.56,0.27;
-0.22,-0.53,0.18;
-0.18,-0.13,-0.07;
0.28,0.57,0.36;
0.16,0.97,0.09;
0.13,0.83,0.36;
0.05,0.26,0.18;
-0.04,-0.24,0.16;
-0.03,-0.03,0.12;
-0.06,-0.06,-0.04;
-0.15,-0.32,-0.25;
0.04,0.08,0.13;
-0.09,0.40,-0.00;
-0.04,0.13,0.12;
-0.03,0.35,-0.08;
-0.13,0.34,-0.07;
0.07,0.31,0.24;
0.14,0.74,0.07;
0.11,0.23,0.12;
-0.06,-0.49,0.07;
-0.27,-1.10,-0.19;
-0.16,-0.84,-0.37;
-0.12,-0.58,-0.55;
0.00,0.22,-0.39;
0.13,0.72,-0.31;
0.20,1.19,0.01;
0.25,1.47,0.32;
0.17,1.44,0.45;
0.10,1.01,0.48;
-0.03,0.19,0.29;
-0.04,-0.44,0.30;
0.02,-0.70,-0.17;
-0.13,-1.08,0.06;
-0.01,-0.10,0.12;
0.23,0.46,0.01;
0.29,1.03,0.33;
0.14,0.83,0.27;
0.07,0.71,-0.05;
0.00,0.81,-0.07;
0.23,0.37,0.36;
0.14,0.57,0.33;
-0.01,-0.01,0.18;
-0.06,-0.20,0.33;
-0.10,-0.64,0.10;
0.04,-0.36,0.36;
-0.01,-0.10,0.30;
0.00,-0.09,0.55;
0.05,0.60,-0.02;
0.17,0.86,-0.14;
0.29,0.77,-0.13;
0.00,0.32,-0.05;
0.08,0.13,-0.22;
-0.07,-0.18,-0.25;
0.02,-0.04,-0.36;
-0.07,-0.01,-0.52;
0.08,0.17,-0.29;
0.23,0.34,-0.10;
0.00,0.16,0.12;
-0.07,0.03,-0.00;
-0.12,0.35,0.15;
-0.13,0.28,0.09;
-0.04,0.42,0.19;
-0.16,-0.06,-0.05;
0.10,0.40,0.38;
-0.06,0.05,0.13;
0.02,0.09,0.04;
0.17,0.06,-0.14;
-0.03,0.14,-0.04;
-0.22,0.32,-0.16;
0.08,0.40,0.35;
0.11,0.43,-0.05;
-0.13,0.05,0.06;
-0.06,0.43,-0.14;
0.19,0.89,-0.00;
-0.06,0.61,0.04;
0.11,0.39,-0.10;
0.08,0.08,-0.08;
-0.13,-0.36,0.15;
0.02,-0.24,-0.07;
-0.06,-0.06,0.10;
0.17,0.42,0.04;
0.14,0.06,-0.02;
-0.10,-0.33,-0.11;
0.13,-0.44,-0.25;
0.13,-0.27,-0.19;
-0.04,-0.21,-0.26;
-0.03,0.22,-0.46;
0.10,0.81,-0.22;
0.13,1.24,0.10;
0.39,1.48,0.27;
0.29,1.36,0.32;
0.20,0.61,0.39;
0.20,0.00,0.12;
-0.03,-0.30,-0.00;
-0.15,-0.81,0.15;
0.00,-0.15,0.18;
0.05,-0.07,0.22;
0.08,0.54,-0.08;
0.33,1.10,0.36;
0.25,1.06,0.56;
0.13,0.55,0.53;
0.13,0.23,0.53;
0.02,0.32,0.30;
-0.09,-0.07,0.16;
-0.04,-0.47,-0.02;
-0.16,-0.58,0.06;
-0.01,-0.29,0.03;
0.11,0.35,0.03;
0.25,0.68,-0.11;
0.34,0.97,-0.28;
0.17,1.07,-0.17;
0.22,0.87,-0.20;
0.26,0.52,-0.08;
0.16,0.48,-0.02;
0.04,0.16,-0.25;
-0.09,-0.26,-0.42;
0.08,0.19,-0.52;
0.00,0.34,-0.04;
0.13,0.37,-0.10;
0.19,0.78,0.06;
0.08,0.42,0.35;
0.17,0.39,0.29;
0.08,0.57,0.10;
0.19,0.09,-0.07;
-0.16,-0.18,0.29;
0.05,0.20,0.01;
0.14,0.45,0.21;
0.02,0.26,0.12;
0.07,0.43,-0.08;
0.02,0.20,-0.07;
0.16,-0.03,-0.25;
-0.04,0.14,0.09;
0.13,0.48,-0.02;
0.13,0.42,-0.07;
0.02,0.22,-0.08;
0.07,0.28,-0.02;
0.39,0.71,-0.05;
0.33,0.54,0.15;
0.00,0.08,0.09;
-0.35,-0.64,0.09;
0.04,0.32,0.06;
0.19,0.37,0.10;
0.19,0.64,0.10;
0.13,0.39,0.16;
-0.07,-0.09,0.18;
-0.03,-0.55,-0.11;
-0.04,-0.42,-0.28;
-0.15,-0.85,-0.43;
-0.07,-0.10,-0.31;
0.19,0.75,-0.00;
0.07,1.10,0.09;
0.28,1.85,0.33;
0.37,1.94,0.30;
0.34,1.09,0.48;
0.07,0.22,0.22;
-0.03,-0.12,-0.04;
-0.16,-0.91,-0.19;
-0.07,-0.85,-0.04;
-0.06,-0.52,0.01;
0.04,0.11,-0.11;
0.14,0.97,0.38;
0.20,1.09,0.26;
0.28,1.38,0.30;
0.28,1.00,0.15;
0.14,0.54,0.12;
0.17,0.42,0.26;
0.17,0.06,0.39;
-0.10,-0.58,0.26;
-0.03,-0.44,0.35;
-0.13,-0.61,0.32;
0.20,-0.23,0.22;
0.10,0.49,0.18;
0.02,0.58,0.16;
0.37,0.87,0.13;
0.19,0.64,-0.13;
-0.04,0.61,-0.04;
0.17,0.64,-0.13;
0.05,0.14,-0.25;
-0.03,-0.35,-0.11;
0.04,-0.32,-0.08;
-0.19,-0.50,-0.07;
-0.24,-0.24,-0.43;
-0.24,-0.58,-0.45;
0.08,0.45,-0.31;
0.07,0.52,-0.04;
0.14,0.71,0.07;
-0.03,0.26,0.15;
0.26,0.54,0.19;
0.28,0.52,0.16;
-0.21,-0.12,0.09;
-0.07,-0.13,0.16;
0.04,-0.16,0.03;
-0.01,0.13,0.26;
0.07,0.26,0.44;
0.22,0.51,0.18;
0.07,0.34,-0.02;
-0.04,0.22,0.01;
0.14,0.06,0.06;
-0.10,0.03,0.06;
-0.06,0.14,0.06;
-0.04,-0.04,0.07;
0.02,0.45,0.03;
0.19,0.34,0.16;
0.16,0.19,-0.04;
-0.03,-0.35,0.01;
-0.01,-0.45,-0.08;
-0.12,-0.68,-0.22;
-0.09,-0.41,-0.28;
-0.35,-0.71,-0.60;
-0.10,-0.10,-0.33;
0.14,0.57,-0.36;
0.00,1.13,-0.26;
0.42,1.42,-0.07;
0.43,1.62,-0.07;
0.19,1.16,0.21;
0.05,0.11,-0.17;
0.02,-0.35,0.09;
-0.10,-1.34,-0.17;
-0.16,-1.20,-0.13;
0.00,-0.53,0.12;
0.13,0.35,0.19;
-0.03,0.23,0.22;
0.14,0.69,0.33;
0.25,1.06,0.50;
0.42,1.03,0.38;
0.29,0.72,0.67;
0.14,0.61,0.26;
0.02,-0.12,0.13;
-0.12,-0.47,0.24;
0.05,-0.62,0.30;
0.02,-0.16,0.07;
-0.09,0.11,-0.04;
0.19,0.48,0.12;
0.31,0.89,0.19;
0.19,0.86,-0.07;
0.10,0.26,-0.28;
0.11,0.20,-0.28;
0.14,0.29,-0.40;
0.22,0.06,-0.26;
0.04,0.13,-0.17;
0.08,0.42,-0.13;
-0.07,0.29,0.09;
0.33,0.75,0.13;
0.31,0.68,-0.04;
0.02,0.26,0.09;
-0.04,0.22,0.32;
-0.12,-0.10,-0.02;
-0.06,-0.12,0.18;
-0.06,0.06,0.24;
0.02,0.23,0.24;
0.14,0.87,0.32;
0.08,0.25,0.18;
0.28,0.75,0.07;
-0.03,0.19,0.03;
0.04,0.06,0.04;
-0.03,0.20,-0.11;
0.07,-0.09,0.15;
0.05,0.00,-0.17;
0.13,0.25,-0.11;
-0.04,0.29,-0.07;
-0.03,0.42,0.09;
0.00,0.35,0.12;
0.13,0.66,0.27;
0.04,0.09,-0.05;
0.04,-0.04,0.03;
-0.06,-0.09,0.15;
-0.13,-0.07,0.27;
-0.06,0.20,0.26;
-0.03,0.14,0.13;
-0.06,-0.27,0.12;
-0.09,-0.78,-0.17;
-0.07,-0.44,-0.49;
-0.09,-0.32,-0.72;
-0.06,0.40,-0.54;
0.04,0.80,-0.34;
0.22,1.44,-0.36;
0.26,1.47,0.04;
0.46,1.44,0.09;
0.00,0.83,0.04;
-0.06,-0.18,0.26;
0.05,-0.55,0.07;
-0.12,-0.01,0.30;
0.05,-0.50,0.13;
0.07,-0.32,0.22;
-0.01,0.43,0.24;
0.22,0.43,0.03;
0.20,0.78,0.15;
0.26,0.80,0.03;
0.11,0.34,0.21;
0.10,0.42,0.30;
0.00,0.37,0.22;
0.10,-0.18,0.01;
0.04,0.13,0.35;
-0.04,-0.16,0.04;
-0.16,-0.29,-0.00;
